Date,Total
11/23/2020,22219
11/24/2020,22740
11/25/2020,23323
11/26/2020,23926
11/27/2020,24552
11/28/2020,24999
11/29/2020,25024
11/30/2020,25988
12/1/2020,26674
12/2/2020,27389
12/3/2020,28228
12/4/2020,29015
12/5/2020,29572
12/6/2020,29699
12/7/2020,30854
12/8/2020,31755
12/9/2020,32604
12/10/2020,33657
12/11/2020,34628
12/12/2020,35225
12/13/2020,35543
12/14/2020,36973
12/15/2020,38021
12/16/2020,39084
12/17/2020,40180
12/18/2020,41183
12/19/2020,41957
12/20/2020,42345
12/21/2020,43612
12/22/2020,44696
12/23/2020,45820
12/24/2020,46527
12/25/2020,46952
12/26/2020,47835
12/27/2020,48305
12/28/2020,49413
12/29/2020,50517
12/30/2020,51581
12/31/2020,52353
1/1/2021,52550
1/2/2021,53294
1/3/2021,53718
1/4/2021,54809
1/5/2021,55759
1/6/2021,56551
1/7/2021,57506
1/8/2021,58344
1/9/2021,58898
1/10/2021,59072
1/11/2021,59992
1/12/2021,60914
1/13/2021,61789
1/14/2021,62606
1/15/2021,63360
1/16/2021,63767
1/17/2021,63933
1/18/2021,64937
1/19/2021,65684
1/20/2021,66399
1/21/2021,67043
1/22/2021,67603
1/23/2021,68040
1/24/2021,67978
1/25/2021,68805
1/26/2021,69326
1/27/2021,69828
1/28/2021,70271
1/29/2021,70691
1/30/2021,70962
1/31/2021,70627
2/1/2021,71500
2/2/2021,71968
2/3/2021,72376
2/4/2021,72749
2/5/2021,72836
2/6/2021,72974
2/7/2021,72404
2/8/2021,73175
2/9/2021,73889
2/10/2021,74082
2/11/2021,74248
2/12/2021,74430
2/13/2021,74528
2/14/2021,74002
2/15/2021,75102
2/16/2021,75401
2/17/2021,75685
2/18/2021,75986
2/19/2021,76131
2/20/2021,76156
2/21/2021,75848
2/22/2021,76328
2/23/2021,76741
2/24/2021,76720
2/25/2021,77146
2/26/2021,77384
2/27/2021,77403
2/28/2021,77052
3/1/2021,77788
3/2/2021,77973
3/3/2021,78100
3/4/2021,78423
3/5/2021,78486
3/6/2021,78400
3/7/2021,77914
3/8/2021,78874
3/9/2021,78945
3/10/2021,79356
3/11/2021,79464
3/12/2021,79664
3/13/2021,79783
3/14/2021,79334
3/15/2021,80178
3/16/2021,80334
3/17/2021,80593
3/18/2021,80706
3/19/2021,81020
3/20/2021,81081
3/21/2021,80845
3/22/2021,81300
3/23/2021,81811
3/24/2021,82052
3/25/2021,82310
3/26/2021,82555
3/27/2021,82756
3/28/2021,82297
3/29/2021,82987
3/30/2021,83420
3/31/2021,83675
